cell_line,metric,condition,parameter,best_value,step_used,plus_value,minus_value
OVCAR3,Ctot,Tumor,KT,50.0,1.0,51.0,49.0
OVCAR3,Ctot,Tumor,Vmax,50.0,1.0,51.0,49.0
OVCAR3,Ctot,Tumor,rho,1.22477,0.0244954,1.2492653999999999,1.2002746
OVCAR3,Ctot,Tumor,rT,0.753007,0.02,0.773007,0.733007
OVCAR3,Ctot,Tumor,beta,8.26125,0.165225,8.426475,8.096025000000001
OVCAR3,Ctot,Tumor+MSC,KT,50.0,1.0,51.0,49.0
OVCAR3,Ctot,Tumor+MSC,Vmax,50.0,1.0,51.0,49.0
OVCAR3,Ctot,Tumor+MSC,rho,1.22477,0.0244954,1.2492653999999999,1.2002746
OVCAR3,Ctot,Tumor+MSC,rT,0.753007,0.02,0.773007,0.733007
OVCAR3,Ctot,Tumor+MSC,beta,8.26125,0.165225,8.426475,8.096025000000001
OVCAR3,Ctot,Tumor+MSC,KS,4.85965,0.097193,4.956843,4.762457
OVCAR3,Ctot,Tumor+MSC,rS,0.879043,0.02,0.899043,0.859043
OVCAR3,Ctot,Tumor+MSC,dS,0.502941,0.02,0.522941,0.48294099999999995
OVCAR3,Ctot,Tumor+MSC,etaTS,1.6506,0.033012,1.683612,1.617588
OVCAR3,Ctot,Tumor+MSC,etaST,-2.70125,0.054025,-2.6472249999999997,-2.755275
OVCAR3,Ctot,Tumor+MSC,aTS,34.8529,0.697058,35.549958,34.155842
OVCAR3,Ctot,Tumor+M2,KT,50.0,1.0,51.0,49.0
OVCAR3,Ctot,Tumor+M2,Vmax,50.0,1.0,51.0,49.0
OVCAR3,Ctot,Tumor+M2,rho,1.22477,0.0244954,1.2492653999999999,1.2002746
OVCAR3,Ctot,Tumor+M2,rT,0.753007,0.02,0.773007,0.733007
OVCAR3,Ctot,Tumor+M2,beta,8.26125,0.165225,8.426475,8.096025000000001
OVCAR3,Ctot,Tumor+M2,KM,14.1112,0.28222400000000003,14.393424,13.828976
OVCAR3,Ctot,Tumor+M2,rM,0.99387,0.02,1.01387,0.97387
OVCAR3,Ctot,Tumor+M2,dM,0.0554736,0.02,0.0754736,0.035473599999999994
OVCAR3,Ctot,Tumor+M2,etaTM,-1.16454,0.023290799999999997,-1.1412491999999999,-1.1878308
OVCAR3,Ctot,Tumor+M2,etaMT,-4.98143,0.0996286,-4.8818014,-5.0810585999999995
OVCAR3,Ctot,Tumor+M2,aTM,3.80526,0.0761052,3.8813652000000003,3.7291548
OVCAR3,Ctot,Tumor+MSC+M2,KT,50.0,1.0,51.0,49.0
OVCAR3,Ctot,Tumor+MSC+M2,Vmax,50.0,1.0,51.0,49.0
OVCAR3,Ctot,Tumor+MSC+M2,rho,1.22477,0.0244954,1.2492653999999999,1.2002746
OVCAR3,Ctot,Tumor+MSC+M2,rT,0.753007,0.02,0.773007,0.733007
OVCAR3,Ctot,Tumor+MSC+M2,beta,8.26125,0.165225,8.426475,8.096025000000001
OVCAR3,Ctot,Tumor+MSC+M2,KS,4.85965,0.097193,4.956843,4.762457
OVCAR3,Ctot,Tumor+MSC+M2,rS,0.879043,0.02,0.899043,0.859043
OVCAR3,Ctot,Tumor+MSC+M2,dS,0.502941,0.02,0.522941,0.48294099999999995
OVCAR3,Ctot,Tumor+MSC+M2,etaTS,1.6506,0.033012,1.683612,1.617588
OVCAR3,Ctot,Tumor+MSC+M2,etaST,-2.70125,0.054025,-2.6472249999999997,-2.755275
OVCAR3,Ctot,Tumor+MSC+M2,aTS,34.8529,0.697058,35.549958,34.155842
OVCAR3,Ctot,Tumor+MSC+M2,KM,14.1112,0.28222400000000003,14.393424,13.828976
OVCAR3,Ctot,Tumor+MSC+M2,rM,0.99387,0.02,1.01387,0.97387
OVCAR3,Ctot,Tumor+MSC+M2,dM,0.0554736,0.02,0.0754736,0.035473599999999994
OVCAR3,Ctot,Tumor+MSC+M2,etaTM,-1.16454,0.023290799999999997,-1.1412491999999999,-1.1878308
OVCAR3,Ctot,Tumor+MSC+M2,etaMT,-4.98143,0.0996286,-4.8818014,-5.0810585999999995
OVCAR3,Ctot,Tumor+MSC+M2,aTM,3.80526,0.0761052,3.8813652000000003,3.7291548
