,AUC_T|Tumor,AUC_T|Tumor+MSC,AUC_T|Tumor+M2,AUC_T|Tumor+MSC+M2
KT,0.885490565763274,0.8559931033729032,0.004920274987318368,0.5514178224653555
Vmax,-0.008832598896110037,-0.009870675656313313,0.03095980621476404,-0.014392973282845126
rho,-0.002935405993347216,0.01580822803738459,-0.01081848296119683,-0.030986064621018057
rT,0.9971062273992678,0.9647200784596817,0.9920885988070174,0.9673885910511294
beta,0.0022717755951325675,0.023742990248863727,-0.009846118280006888,-0.016329741883521914
KS,0.0,-0.6734075680986609,0.0,-0.6813902710561677
rS,0.0,0.8071618066357854,0.0,0.7966416226897849
dS,0.0,-0.7062623628724287,0.0,-0.691477005636332
etaTS,0.0,0.8427923684518862,0.0,0.8451825420824128
etaST,0.0,0.47440845986763086,0.0,0.4005044213552787
aTS,0.0,-0.00445703322852334,0.0,-0.03607357756052525
KM,0.0,0.0,0.7691948017638919,0.4839734814998214
rM,0.0,0.0,-0.9034024042463457,-0.7253009106860506
dM,0.0,0.0,0.11632205095888463,0.08816496362226893
etaTM,0.0,0.0,0.9022378074301436,0.682504241617501
etaMT,0.0,0.0,-0.545511120602445,-0.452288473269453
aTM,0.0,0.0,0.00017740883970516797,0.0008014233947273907
