,V_final|Tumor,V_final|Tumor+MSC,V_final|Tumor+M2,V_final|Tumor+MSC+M2
KT,-0.7651820113297988,0.33136895525069854,-0.6946013894979751,0.4226685827955568
Vmax,0.07927589183434097,0.2980394828328304,0.07736718208141774,0.33337283496387066
rho,-0.8865858146965742,-0.8677833229682537,-0.8022119162487963,-0.8251058520319999
rT,0.9697265531130845,-0.36470101311910824,0.9523917914540498,-0.4812131900907857
beta,0.9335041385586318,0.8669368312268456,0.865773882529398,0.8118158201845369
KS,0.0,-0.3871766979356677,0.0,-0.2529687563202518
rS,0.0,0.923671069046637,0.0,0.8952666181184328
dS,0.0,-0.8567199898264071,0.0,-0.8105914635873017
etaTS,0.0,-0.17016712353183283,0.0,-0.2383590087143807
etaST,0.0,0.8758253324619614,0.0,0.7713592501065213
aTS,0.0,0.7530488840303677,0.0,0.7295049831464354
KM,0.0,0.0,0.2119456622639102,-0.20835456809713515
rM,0.0,0.0,0.0011299712862015612,0.566085634970531
dM,0.0,0.0,0.019517884434154014,-0.059004539743696176
etaTM,0.0,0.0,0.6748346288865309,-0.10908819993934472
etaMT,0.0,0.0,0.23835908897034547,0.4977761269032405
aTM,0.0,0.0,0.5917641984754617,0.33214762058533165
