cell_line,metric,condition,parameter,best_value,step_used,plus_value,minus_value
OVCAR4,T,Tumor,KT,50.0,1.0,51.0,49.0
OVCAR4,T,Tumor,Vmax,50.0,1.0,51.0,49.0
OVCAR4,T,Tumor,rho,5.0,0.1,5.1,4.9
OVCAR4,T,Tumor,rT,0.596518,0.02,0.616518,0.576518
OVCAR4,T,Tumor,beta,53.3633,1.067266,54.430566,52.296034000000006
OVCAR4,T,Tumor+MSC,KT,50.0,1.0,51.0,49.0
OVCAR4,T,Tumor+MSC,Vmax,50.0,1.0,51.0,49.0
OVCAR4,T,Tumor+MSC,rho,5.0,0.1,5.1,4.9
OVCAR4,T,Tumor+MSC,rT,0.596518,0.02,0.616518,0.576518
OVCAR4,T,Tumor+MSC,beta,53.3633,1.067266,54.430566,52.296034000000006
OVCAR4,T,Tumor+MSC,KS,49.9971,0.9999420000000001,50.997042,48.997158000000006
OVCAR4,T,Tumor+MSC,dS,0.208744,0.02,0.228744,0.18874400000000002
OVCAR4,T,Tumor+MSC,etaTS,-3.27475,0.065495,-3.209255,-3.340245
OVCAR4,T,Tumor+MSC,etaST,5.0,0.1,5.1,4.9
OVCAR4,T,Tumor+MSC,aTS,18.7049,0.374098,19.078998,18.330802
OVCAR4,T,Tumor+M2,KT,50.0,1.0,51.0,49.0
OVCAR4,T,Tumor+M2,Vmax,50.0,1.0,51.0,49.0
OVCAR4,T,Tumor+M2,rho,5.0,0.1,5.1,4.9
OVCAR4,T,Tumor+M2,rT,0.596518,0.02,0.616518,0.576518
OVCAR4,T,Tumor+M2,beta,53.3633,1.067266,54.430566,52.296034000000006
OVCAR4,T,Tumor+M2,KM,4.95469,0.09909380000000001,5.053783800000001,4.8555962
OVCAR4,T,Tumor+M2,rM,0.5052,0.02,0.5252,0.48519999999999996
OVCAR4,T,Tumor+M2,dM,0.243386,0.02,0.263386,0.223386
OVCAR4,T,Tumor+M2,etaTM,-0.0911392,0.02,-0.0711392,-0.11113920000000001
OVCAR4,T,Tumor+M2,etaMT,2.48226,0.0496452,2.5319052,2.4326148
OVCAR4,T,Tumor+M2,aTM,-1.17822,0.023564400000000003,-1.1546556000000001,-1.2017844
OVCAR4,T,Tumor+MSC+M2,KT,50.0,1.0,51.0,49.0
OVCAR4,T,Tumor+MSC+M2,Vmax,50.0,1.0,51.0,49.0
OVCAR4,T,Tumor+MSC+M2,rho,5.0,0.1,5.1,4.9
OVCAR4,T,Tumor+MSC+M2,rT,0.596518,0.02,0.616518,0.576518
OVCAR4,T,Tumor+MSC+M2,beta,53.3633,1.067266,54.430566,52.296034000000006
OVCAR4,T,Tumor+MSC+M2,KS,49.9971,0.9999420000000001,50.997042,48.997158000000006
OVCAR4,T,Tumor+MSC+M2,dS,0.208744,0.02,0.228744,0.18874400000000002
OVCAR4,T,Tumor+MSC+M2,etaTS,-3.27475,0.065495,-3.209255,-3.340245
OVCAR4,T,Tumor+MSC+M2,etaST,5.0,0.1,5.1,4.9
OVCAR4,T,Tumor+MSC+M2,aTS,18.7049,0.374098,19.078998,18.330802
OVCAR4,T,Tumor+MSC+M2,KM,4.95469,0.09909380000000001,5.053783800000001,4.8555962
OVCAR4,T,Tumor+MSC+M2,rM,0.5052,0.02,0.5252,0.48519999999999996
OVCAR4,T,Tumor+MSC+M2,dM,0.243386,0.02,0.263386,0.223386
OVCAR4,T,Tumor+MSC+M2,etaTM,-0.0911392,0.02,-0.0711392,-0.11113920000000001
OVCAR4,T,Tumor+MSC+M2,etaMT,2.48226,0.0496452,2.5319052,2.4326148
OVCAR4,T,Tumor+MSC+M2,aTM,-1.17822,0.023564400000000003,-1.1546556000000001,-1.2017844
