,Ctot_final|Tumor,Ctot_final|Tumor+MSC,Ctot_final|Tumor+M2,Ctot_final|Tumor+MSC+M2
KT,0.8855211384463464,0.2616714679043059,0.5931331928683422,-0.17597469730694587
Vmax,-0.019370120655116743,0.00030147064815078513,-0.06201183068678187,-0.024750230046244423
rho,0.04617565000450693,-0.02467265416834019,0.006458149650545019,0.0038083873757339365
rT,0.9972551211800752,0.9949558751269196,0.9968949200994599,0.9945053731112252
beta,-0.012573752505537538,-0.006253311853552546,-0.014486223444716723,-0.03875594604074455
KS,0.0,0.8213392814455353,0.0,0.7962928141198742
dS,0.0,-0.1774405024012791,0.0,-0.1114772787266108
etaTS,0.0,0.8222349949803834,0.0,0.7889675434878367
etaST,0.0,0.6310300168787703,0.0,0.5110303941750685
aTS,0.0,-0.004838634419822475,0.0,0.0028273485429900617
KM,0.0,0.0,0.7967053889308776,0.681755227276876
rM,0.0,0.0,0.6605819707572187,0.6114759977636073
dM,0.0,0.0,-0.6572366559549203,-0.5589993533658127
etaTM,0.0,0.0,0.5028631275800101,0.36173262778505433
etaMT,0.0,0.0,0.7009314713953554,0.5163797074620081
aTM,0.0,0.0,-0.006128267110569481,-0.03344434785110933
