,T_final|Tumor,T_final|Tumor+MSC,T_final|Tumor+M2,T_final|Tumor+MSC+M2
KT,0.8844184004034767,0.7739586012455503,0.8820216967845395,0.7974145981076711
Vmax,-0.03834847255672087,0.0174910912750582,-0.011750901691591934,-0.011825412160405405
rho,0.028672931105871935,-0.0031510463405699106,0.03348031140137803,-0.03536260131263241
rT,0.9972006383028618,0.9766728911138488,0.9972049946405995,0.982681584401336
beta,-0.008789528023396206,-0.004492275674546597,0.006753022795665848,0.019598098095266952
KS,0.0,0.5852142596575034,0.0,0.612629587773843
dS,0.0,0.4217269456257379,0.0,0.46285907137713617
etaTS,0.0,0.5715226922131633,0.0,0.5978511329551819
etaST,0.0,-0.5960682047212572,0.0,-0.5922908385804233
aTS,0.0,-0.030215914601779872,0.0,0.0029863048704920968
KM,0.0,0.0,0.23911157260544422,0.08759489022119603
rM,0.0,0.0,-0.2542685174632114,-0.11037272862220024
dM,0.0,0.0,0.20442820615643406,0.07211430471746615
etaTM,0.0,0.0,0.5195262945672684,0.21660724960821257
etaMT,0.0,0.0,-0.13083774561130054,-0.017214454525367164
aTM,0.0,0.0,-0.06507434983369145,0.03780245178656592
