,AUC_V|Tumor,AUC_V|Tumor+MSC,AUC_V|Tumor+M2,AUC_V|Tumor+MSC+M2
KT,-0.8932202905644092,-0.8940200975857863,-0.840080585798925,-0.8591733169078487
Vmax,0.06396266853317849,0.08135063803298209,0.05660866846621433,0.04768820797876338
rho,-0.9216841719767088,-0.8760918997757426,-0.9141670797759903,-0.8769684180981826
rT,0.9644415555791137,0.9647092351871532,0.9371814866113348,0.9474928069626175
beta,0.9356344426245883,0.8930194401876599,0.9215270207841364,0.889876732820307
KS,0.0,-0.19802831914530597,0.0,-0.24542114627048833
dS,0.0,-0.2674700567678999,0.0,-0.21849401065251045
etaTS,0.0,0.3847496807686924,0.0,0.3163312196050163
etaST,0.0,0.4309303747161232,0.0,0.35978091392351125
aTS,0.0,0.5380895600765166,0.0,0.5279894610685574
KM,0.0,0.0,0.5367664963660437,0.45705356071621167
rM,0.0,0.0,-0.6052543983429521,-0.5272651026785424
dM,0.0,0.0,0.5073911599490176,0.4298207612691144
etaTM,0.0,0.0,0.11064536086929452,0.0956402044755962
etaMT,0.0,0.0,-0.3908403562534909,-0.27327031245223415
aTM,0.0,0.0,0.8301585183857872,0.7400022169690438
